exec_tf,session_date,direction,swept_level_name,swept_level_price,swept_level_formed_at,sweep_ts,target_gap_high,target_gap_low,target_gap_size,target_gap_formed_at,bars_to_inversion,entry_ts,entry_price,stop_price,tp_price,risk_points,exit_ts,exit_price,outcome,pnl_points,r_multiple
1m,2026-03-02 00:00:00-05:00,short,overnight_high,24901.25,2026-03-01 20:45:00-05:00,2026-03-02 10:21:00-05:00,24872.75,24863.75,9.0,2026-03-02 10:02:00-05:00,11,2026-03-02 10:32:00-05:00,24849.25,24877.75,24820.75,28.5,2026-03-02 10:34:00-05:00,24877.75,loss,-28.5,-1.0
1m,2026-03-03 00:00:00-05:00,long,london_low,24370.0,2026-03-03 06:30:00-05:00,2026-03-03 10:25:00-05:00,24428.0,24418.75,9.25,2026-03-03 10:21:00-05:00,11,2026-03-03 10:36:00-05:00,24441.5,24413.75,24469.25,27.75,2026-03-03 10:40:00-05:00,24469.25,win,27.75,1.0
2m,2026-03-03 00:00:00-05:00,long,london_low,24370.0,2026-03-03 06:30:00-05:00,2026-03-03 10:24:00-05:00,24427.5,24416.25,11.25,2026-03-03 10:22:00-05:00,3,2026-03-03 10:30:00-05:00,24428.0,24411.25,24444.75,16.75,2026-03-03 10:32:00-05:00,24411.25,loss,-16.75,-1.0
30s,2026-03-03 00:00:00-05:00,long,london_low,24370.0,2026-03-03 06:30:00-05:00,2026-03-03 10:25:30-05:00,24396.5,24387.0,9.5,2026-03-03 10:25:30-05:00,11,2026-03-03 10:31:00-05:00,24415.5,24382.0,24449.0,33.5,2026-03-03 10:36:30-05:00,24449.0,win,33.5,1.0
2m,2026-03-05 00:00:00-05:00,short,htf_fvg_4H_bearish_20260226_1600,25099.0,2026-02-26 16:00:00-05:00,2026-03-05 09:34:00-05:00,25075.25,25059.75,15.5,2026-03-05 09:34:00-05:00,5,2026-03-05 09:44:00-05:00,25044.5,25080.25,25008.75,35.75,2026-03-05 09:46:00-05:00,25080.25,loss,-35.75,-1.0
30s,2026-03-05 00:00:00-05:00,short,6am_high,25157.75,2026-03-05 07:30:00-05:00,2026-03-05 10:05:00-05:00,25176.75,25168.25,8.5,2026-03-05 09:58:30-05:00,1,2026-03-05 10:05:30-05:00,25163.75,25181.75,25145.75,18.0,2026-03-05 10:07:30-05:00,25145.75,win,18.0,1.0
2m,2026-03-06 00:00:00-05:00,long,htf_fvg_1H_bullish_20260304_0400,24611.5,2026-03-04 04:00:00-05:00,2026-03-06 09:36:00-05:00,24663.0,24653.25,9.75,2026-03-06 09:36:00-05:00,1,2026-03-06 09:38:00-05:00,24679.75,24648.25,24711.25,31.5,2026-03-06 09:40:00-05:00,24711.25,win,31.5,1.0
2m,2026-03-09 00:00:00-04:00,short,htf_fvg_1H_bearish_20260308_1800,24473.0,2026-03-08 18:00:00-04:00,2026-03-09 09:30:00-04:00,24424.0,24414.0,10.0,2026-03-09 09:30:00-04:00,3,2026-03-09 09:36:00-04:00,24413.25,24429.0,24397.5,15.75,2026-03-09 09:38:00-04:00,24397.5,win,15.75,1.0
2m,2026-03-11 00:00:00-04:00,short,6am_high,25043.5,2026-03-11 07:15:00-04:00,2026-03-11 09:48:00-04:00,25034.75,25027.0,7.75,2026-03-11 09:30:00-04:00,1,2026-03-11 09:50:00-04:00,25022.75,25039.75,25005.75,17.0,2026-03-11 09:52:00-04:00,25039.75,loss,-17.0,-1.0
3m,2026-03-11 00:00:00-04:00,short,htf_fvg_1H_bearish_20260311_0300,25053.25,2026-03-11 03:00:00-04:00,2026-03-11 10:12:00-04:00,25034.75,25027.0,7.75,2026-03-11 09:30:00-04:00,3,2026-03-11 10:21:00-04:00,25024.75,25039.75,25009.75,15.0,2026-03-11 10:24:00-04:00,25009.75,win,15.0,1.0
1m,2026-03-12 00:00:00-04:00,long,asia_low,24695.5,2026-03-11 23:45:00-04:00,2026-03-12 09:47:00-04:00,24726.5,24708.5,18.0,2026-03-12 09:47:00-04:00,2,2026-03-12 09:49:00-04:00,24736.5,24703.5,24769.5,33.0,2026-03-12 09:52:00-04:00,24703.5,loss,-33.0,-1.0
30s,2026-03-12 00:00:00-04:00,long,htf_fvg_1H_bullish_20260309_1300,24631.25,2026-03-09 13:00:00-04:00,2026-03-12 09:56:00-04:00,24661.5,24653.0,8.5,2026-03-12 09:56:00-04:00,8,2026-03-12 10:00:00-04:00,24698.5,24648.0,24749.0,50.5,2026-03-12 10:28:30-04:00,24648.0,loss,-50.5,-1.0
3m,2026-03-12 00:00:00-04:00,long,htf_fvg_1H_bullish_20260309_1300,24631.25,2026-03-09 13:00:00-04:00,2026-03-12 09:54:00-04:00,24691.5,24679.75,11.75,2026-03-12 09:54:00-04:00,2,2026-03-12 10:00:00-04:00,24725.0,24674.75,24775.25,50.25,2026-03-12 10:18:00-04:00,24674.75,loss,-50.25,-1.0
1m,2026-03-13 00:00:00-04:00,short,overnight_high,24738.0,2026-03-13 09:00:00-04:00,2026-03-13 10:00:00-04:00,24714.5,24704.5,10.0,2026-03-13 09:43:00-04:00,2,2026-03-13 10:02:00-04:00,24697.75,24719.5,24676.0,21.75,2026-03-13 10:04:00-04:00,24719.5,loss,-21.75,-1.0
2m,2026-03-24 00:00:00-04:00,long,overnight_low,24193.5,2026-03-24 01:30:00-04:00,2026-03-24 09:58:00-04:00,24229.25,24212.25,17.0,2026-03-24 09:40:00-04:00,4,2026-03-24 10:06:00-04:00,24266.0,24207.25,24324.75,58.75,2026-03-24 10:12:00-04:00,24207.25,loss,-58.75,-1.0
30s,2026-03-24 00:00:00-04:00,short,asia_high,24305.0,2026-03-24 01:30:00-04:00,2026-03-24 09:31:30-04:00,24280.0,24270.0,10.0,2026-03-24 09:31:30-04:00,7,2026-03-24 09:35:00-04:00,24263.5,24285.0,24242.0,21.5,2026-03-24 09:35:30-04:00,24285.0,loss,-21.5,-1.0
30s,2026-03-24 00:00:00-04:00,long,asia_low,24193.5,2026-03-24 01:30:00-04:00,2026-03-24 09:40:30-04:00,24221.5,24209.5,12.0,2026-03-24 09:40:00-04:00,12,2026-03-24 09:46:30-04:00,24223.25,24204.5,24242.0,18.75,2026-03-24 09:47:30-04:00,24204.5,loss,-18.75,-1.0
1m,2026-03-25 00:00:00-04:00,short,asia_high,24494.0,2026-03-24 20:45:00-04:00,2026-03-25 09:36:00-04:00,24447.5,24434.75,12.75,2026-03-25 09:31:00-04:00,13,2026-03-25 09:49:00-04:00,24418.25,24452.5,24384.0,34.25,2026-03-25 09:50:00-04:00,24384.0,win,34.25,1.0
30s,2026-03-25 00:00:00-04:00,short,asia_high,24494.0,2026-03-24 20:45:00-04:00,2026-03-25 09:36:00-04:00,24446.0,24433.75,12.25,2026-03-25 09:30:30-04:00,27,2026-03-25 09:49:30-04:00,24418.25,24451.0,24385.5,32.75,2026-03-25 09:50:00-04:00,24385.5,win,32.75,1.0
